date,time,home_team,score,away_team
2025-11-08,14:30,Gaziantep FK,2–2,Rizespor
2025-11-08,17:00,Trabzonspor,1–1,Alanyaspor
2025-11-08,20:00,Kasımpaşa,0–2,Göztepe
2025-11-08,20:00,Antalyaspor,1–3,Beşiktaş
2025-11-09,14:30,Fatih Karagümrük,2–0,Konyaspor
2025-11-09,17:00,Kocaelispor,1–0,Galatasaray
2025-11-09,20:00,Samsunspor,1–0,Eyüpspor
2025-11-09,20:00,Fenerbahçe,4–2,Kayserispor
,,,,
2025-11-22,14:30,Kayserispor,0–3,Gaziantep FK
2025-11-22,17:00,Eyüpspor,1–1,Fatih Karagümrük
2025-11-22,20:00,Galatasaray,3–2,Gençlerbirliği
2025-11-23,14:30,Göztepe,0–0,Kocaelispor
2025-11-23,17:00,Beşiktaş,1–1,Samsunspor
2025-11-23,17:00,Alanyaspor,1–2,Kasımpaşa
2025-11-23,20:00,Rizespor,2–5,Fenerbahçe
2025-11-24,20:00,Konyaspor,0–0,Antalyaspor
2025-11-24,20:00,Başakşehir,3–4,Trabzonspor
,,,,
2025-11-28,20:00,Kocaelispor,1–0,Gençlerbirliği
2025-11-29,14:30,Rizespor,,Kayserispor
2025-11-29,17:00,Gaziantep FK,,Eyüpspor
2025-11-29,20:00,Trabzonspor,,Konyaspor
2025-11-29,20:00,Kasımpaşa,,Başakşehir
2025-11-30,17:00,Antalyaspor,,Göztepe
2025-11-30,20:00,Fatih Karagümrük,,Beşiktaş
2025-12-01,20:00,Fenerbahçe,,Galatasaray
2025-12-01,20:00,Samsunspor,,Alanyaspor
,,,,
2025-12-05,20:00,Galatasaray,,Samsunspor
2025-12-06,14:30,Eyüpspor,,Kayserispor
2025-12-06,17:00,Konyaspor,,Rizespor
2025-12-06,20:00,Başakşehir,,Fenerbahçe
2025-12-07,14:30,Gençlerbirliği,,Fatih Karagümrük
2025-12-07,17:00,Kocaelispor,,Kasımpaşa
2025-12-07,20:00,Göztepe,,Trabzonspor
2025-12-08,20:00,Beşiktaş,,Gaziantep FK
2025-12-08,20:00,Alanyaspor,,Antalyaspor
,,,,
2025-12-12,20:00,Kasımpaşa,,Gençlerbirliği
2025-12-13,14:30,Rizespor,,Eyüpspor
2025-12-13,17:00,Kayserispor,,Alanyaspor
2025-12-13,20:00,Antalyaspor,,Galatasaray
2025-12-14,14:30,Gaziantep FK,,Göztepe
2025-12-14,17:00,Fatih Karagümrük,,Kocaelispor
2025-12-14,20:00,Trabzonspor,,Beşiktaş
2025-12-14,20:00,Samsunspor,,Başakşehir
2025-12-15,20:00,Fenerbahçe,,Konyaspor
,,,,
2025-12-21,,Alanyaspor,,Fatih Karagümrük
2025-12-21,,Konyaspor,,Kayserispor
2025-12-21,,Eyüpspor,,Fenerbahçe
2025-12-21,,Beşiktaş,,Rizespor
2025-12-21,,Kocaelispor,,Antalyaspor
2025-12-21,,Gençlerbirliği,,Trabzonspor
2025-12-21,,Göztepe,,Samsunspor
2025-12-21,,Galatasaray,,Kasımpaşa
2025-12-21,,Başakşehir,,Gaziantep FK
,,,,
2026-01-18,,Gençlerbirliği,,Samsunspor
2026-01-18,,Alanyaspor,,Fenerbahçe
2026-01-18,,Göztepe,,Rizespor
2026-01-18,,Konyaspor,,Eyüpspor
2026-01-18,,Galatasaray,,Gaziantep FK
2026-01-18,,Başakşehir,,Fatih Karagümrük
2026-01-18,,Kocaelispor,,Trabzonspor
2026-01-18,,Beşiktaş,,Kayserispor
2026-01-18,,Kasımpaşa,,Antalyaspor
,,,,
2026-01-25,,Rizespor,,Alanyaspor
2026-01-25,,Trabzonspor,,Kasımpaşa
2026-01-25,,Eyüpspor,,Beşiktaş
2026-01-25,,Samsunspor,,Kocaelispor
2026-01-25,,Kayserispor,,Başakşehir
2026-01-25,,Gaziantep FK,,Konyaspor
2026-01-25,,Antalyaspor,,Gençlerbirliği
2026-01-25,,Fenerbahçe,,Göztepe
2026-01-25,,Fatih Karagümrük,,Galatasaray
,,,,
2026-02-01,,Alanyaspor,,Eyüpspor
2026-02-01,,Kasımpaşa,,Samsunspor
2026-02-01,,Beşiktaş,,Konyaspor
2026-02-01,,Kocaelispor,,Fenerbahçe
2026-02-01,,Antalyaspor,,Trabzonspor
2026-02-01,,Başakşehir,,Rizespor
2026-02-01,,Göztepe,,Fatih Karagümrük
2026-02-01,,Galatasaray,,Kayserispor
2026-02-01,,Gençlerbirliği,,Gaziantep FK
,,,,
2026-02-08,,Kayserispor,,Kocaelispor
2026-02-08,,Rizespor,,Galatasaray
2026-02-08,,Fatih Karagümrük,,Antalyaspor
2026-02-08,,Fenerbahçe,,Gençlerbirliği
2026-02-08,,Beşiktaş,,Alanyaspor
2026-02-08,,Konyaspor,,Göztepe
2026-02-08,,Eyüpspor,,Başakşehir
2026-02-08,,Gaziantep FK,,Kasımpaşa
2026-02-08,,Samsunspor,,Trabzonspor
,,,,
2026-02-15,,Alanyaspor,,Konyaspor
2026-02-15,,Galatasaray,,Eyüpspor
2026-02-15,,Trabzonspor,,Fenerbahçe
2026-02-15,,Antalyaspor,,Samsunspor
2026-02-15,,Gençlerbirliği,,Rizespor
2026-02-15,,Başakşehir,,Beşiktaş
2026-02-15,,Kocaelispor,,Gaziantep FK
2026-02-15,,Göztepe,,Kayserispor
2026-02-15,,Kasımpaşa,,Fatih Karagümrük
,,,,
2026-02-22,,Konyaspor,,Galatasaray
2026-02-22,,Gaziantep FK,,Trabzonspor
